Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Continent,latitude,longitude
129,Ukraine,30.71,10.57,21.27,26.3,25.75,37.22,Europe,49.4871968,31.2718321
130,United Arab Emirates,58.33,43.28,51.28,46.67,61.53,92.17,Asia,24.0002488,53.9994829
131,United Kingdom,69.65,31.84,51.93,56.58,76.79,88.78,Europe,54.7023545,-3.2765753
132,United States,70.13,42.07,56.98,70.37,70.07,106.34,North America,39.7837304,-100.445882
133,Uruguay,52.07,13.93,34.19,44.01,49.39,30.07,South America,-32.8755548,-56.0201525
134,Uzbekistan,27.31,9.29,18.86,26.83,24.22,22.37,Asia,41.32373,63.9528098
135,Venezuela,43.2,9.99,27.63,37.34,46.23,15.41,South America,8.0018709,-66.1109318
136,Vietnam,37.48,13.22,26.11,38.7,19.98,29.38,Asia,15.9266657,107.9650855
137,Yemen,53.14,6.71,31.38,67.12,24.74,14.41,Asia,16.3471243,47.8915271
138,Zambia,33.04,9.26,21.9,31.53,22.46,40.33,Africa,-14.5189121,27.5589884
139,Zimbabwe,45.68,8.75,28.37,39.88,38.13,19.07,Africa,-18.4554963,29.7468414
